Periodo,Indice general,Indice subyacente,Indice subyacente - Mercancias,Indice subyacente - Servicios,Indice no subyacente,Indice no subyacente - Agropecuarios,Indice no subyacente - Energéticos y tarifas autorizadas por el gobierno  
2002/02,50.86774985,55.59531635,53.13868136,57.66618478,38.17784894,37.42554764,38.75147626
2002/03,51.12794844,55.82165806,53.27941053,57.99331486,38.48941494,37.45403639,39.28826763
2002/04,51.40723497,56.02071187,53.39113826,58.29570654,38.91167884,38.02337891,39.59312116
2002/05,51.51142923,56.12431781,53.42418485,58.48376652,39.01055865,38.38276417,39.48447712
2002/06,51.76258618,56.19529117,53.39190399,58.67967587,39.60691319,39.4260035,39.72454943
2002/07,51.91118135,56.27082838,53.34656909,58.88191074,39.92288494,40.30960693,39.66377405
2002/08,52.1085603,56.46041266,53.44076466,59.1638084,40.13970672,40.56691034,39.85535426
2002/09,52.42198356,56.83221646,53.48032891,59.85839195,40.29474819,40.30371436,40.27004234
2002/10,52.65303609,56.96474757,53.64119431,59.96268305,40.785636,40.33619036,41.04536504
2002/11,53.07887728,57.07455688,53.71807372,60.10416814,42.04318607,41.35176295,42.45258285
2002/12,53.3099298,57.19333372,53.77600137,60.28184176,42.56978605,42.81084719,42.39987157
2003/01,53.52544068,57.44781396,53.92171737,60.64141348,42.67996495,42.10807484,43.01483078
2003/02,53.67412245,57.73288823,54.15687088,60.97399277,42.46616236,41.27688471,43.18451975
2003/03,54.01293041,57.96746397,54.36137102,61.23691616,43.07853778,42.48135521,43.42892063
2003/04,54.1051442,58.16380726,54.45398309,61.53368897,42.89412574,42.1077614,43.36207571
2003/05,53.93055967,58.31810263,54.56638404,61.72821994,41.85044823,41.90490445,41.79675475
2003/06,53.9751124,58.38158686,54.54558827,61.87371824,41.84518757,41.82855433,41.83564226
2003/07,54.0533387,58.46081062,54.49077792,62.0834668,41.91993034,42.0063962,41.84632627
2003/08,54.21548991,58.6701367,54.60415793,62.3855648,41.95483165,41.80825977,42.02592454
2003/09,54.53823816,58.95136011,54.68970538,62.8566227,42.38448815,42.50935526,42.28681674
2003/10,54.73820739,59.0778893,54.82281474,62.97617823,42.77776028,42.91905426,42.66970121
2003/11,55.19254161,59.2331002,55.01736343,63.0923071,44.02021275,43.47210935,44.33967079
2003/12,55.42981079,59.40446093,55.18066481,63.27079345,44.43019322,44.37396514,44.44400807
2004/01,55.77431735,59.63309697,55.41206847,63.49573537,45.07706496,45.09789215,45.04272221
2004/02,56.10794476,59.90184893,55.69211386,63.75229473,45.57988737,45.51907106,45.59600542
2004/03,56.29807094,60.12152117,55.87109947,64.01073969,45.69084814,45.22487142,45.95851308
